target_id,latitude,longitude,time,magnitude,geometry,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1,depth,dmass,cp
162,-50.3221,-72.25,2021-10-13 07:55:29.195,5.4,POINT (-72.25 -50.3221),5.4,0.0,6.907372514309816e-11,0.2501720505654866,0.7498279494345134,1.0,10.0,11.095147714953317,1.8212751591040581
191,38.8893,135.4527,2021-09-29 08:37:05.619,6.1000000000000005,POINT (135.4527 38.8893),5.4,0.0,6.907372514309816e-11,0.8805546310644004,0.1194453689355997,1.0,364.0,-12.225786974842901,1.936979654780165
211,29.1944,105.365,2021-09-15 20:33:31.851,5.4,POINT (105.365 29.1944),5.4,0.0,6.907372514309816e-11,0.8908138736184178,0.1091861263815821,1.0,7.12,24.034845793439793,3.2852612770542877
1404,40.9035,28.1502,2019-09-26 10:59:25.648,5.7,POINT (28.1502 40.9035),5.4,0.0,6.907372514309816e-11,0.8407136243181825,0.1592863756818174,1.0,8.0,-11.874612588810098,1.936979654780165
1410,33.0779,73.7936,2019-09-24 11:01:54.990,5.4,POINT (73.7936 33.0779),5.4,0.0,6.907372514309816e-11,0.8698847419269917,0.1301152580730083,1.0,10.0,-16.050166577340917,2.8321011961604277
1414,41.3375,19.5303,2019-09-21 14:04:25.803,5.6000000000000005,POINT (19.5303 41.3375),5.4,0.0,6.907372514309816e-11,0.8541877528219145,0.1458122471780855,1.0,20.0,-31.47946384880278,3.372832586209521
1512,-18.2242,120.3584,2019-07-14 05:39:23.420,6.6000000000000005,POINT (120.3584 -18.2242),5.4,0.0,6.907372514309816e-11,0.3881031386553338,0.6118968613446661,1.0,10.0,15.505109390051892,2.2337158905863728
1716,-3.2806,90.2747,2019-03-10 07:53:20.170,5.5,POINT (90.2747 -3.2806),5.4,0.0,6.907372514309816e-11,0.5928131179054699,0.4071868820945302,1.0,10.0,-8.509723310573076,1.8978613759041092
1833,-20.6428,32.8029,2018-12-22 05:37:38.870,5.6000000000000005,POINT (32.8029 -20.6428),5.4,0.0,6.907372514309816e-11,0.8788174074129635,0.1211825925870366,1.0,16.0,-11.109004469577282,2.354139878292583
1876,27.1986,96.9185,2018-11-28 10:17:06.970,5.4,POINT (96.9185 27.1986),5.4,0.0,6.907372514309816e-11,0.8805941864159262,0.1194058135840737,1.0,11.0,-11.787422681037986,1.936979654780165
2489,29.8333,94.9838,2017-11-17 22:34:19.450,6.4,POINT (94.9838 29.8333),5.4,0.0,6.907372514309816e-11,0.7849644321132917,0.2150355678867083,1.0,8.0,-34.524163515651196,3.926560918606947
2615,41.3324,129.0297,2017-09-03 03:30:01.760,6.300000000000001,POINT (129.0297 41.3324),5.4,0.0,6.907372514309816e-11,0.8896445270559138,0.1103554729440861,1.0,0.0,-10.447099824679345,2.354139878292583
2685,46.8811,-112.5753,2017-07-06 06:30:17.000,5.800000000000001,POINT (-112.5753 46.8811),5.4,0.0,6.907372514309816e-11,0.1794176409707698,0.8205823590292302,1.0,12.18,-10.376435638728333,2.354139878292583
2899,-20.16,46.6469,2017-01-11 22:06:58.670,5.5,POINT (46.6469 -20.16),5.4,0.0,6.907372514309816e-11,0.011534340935102,0.988465659064898,1.0,7.26,-11.298553972873053,1.936979654780165
3077,32.8959,94.8768,2016-10-17 07:14:50.870,5.9,POINT (94.8768 32.8959),5.4,0.0,6.907372514309816e-11,0.8829917650947098,0.1170082349052901,1.0,35.0,-7.493912415262532,1.8978613759041092
3127,-1.0355,31.6181,2016-09-10 12:27:33.410,5.9,POINT (31.6181 -1.0355),5.4,0.0,6.907372514309816e-11,0.4700862093550951,0.5299137906449047,1.0,40.0,45.98749350911166,9.359505056108475
3232,41.4928,-29.3334,2016-07-14 08:36:29.110,5.4,POINT (-29.3334 41.4928),5.4,0.0,6.907372514309816e-11,0.6143678921544327,0.3856321078455674,1.0,10.0,-7.638740556081757,1.8978613759041092
3779,-25.3727,154.2281,2015-07-29 23:41:40.420,5.5,POINT (154.2281 -25.3727),5.4,0.0,6.907372514309816e-11,0.3418927283491783,0.6581072716508217,1.0,9.0,10.659763094850273,1.8212751591040581
3820,37.4593,78.1542,2015-07-03 01:07:47.290,6.4,POINT (78.1542 37.4593),5.4,0.0,6.907372514309816e-11,0.8906410819003072,0.1093589180996928,1.0,20.0,20.60842781649242,2.6959500248836106
3827,29.0402,34.6672,2015-06-27 15:34:03.960,5.5,POINT (34.6672 29.0402),5.4,0.0,6.907372514309816e-11,0.1465372317457899,0.8534627682542101,1.0,22.0,-7.719402094394657,1.8978613759041092
3939,28.2305,84.7314,2015-04-25 06:11:25.950,7.800000000000001,POINT (84.7314 28.2305),5.4,0.0,6.907372514309816e-11,0.6132250595533844,0.3867749404466156,1.0,8.22,-8.230162390012111,1.8978613759041092
4412,40.3731,51.5739,2014-06-07 06:05:29.910,5.5,POINT (51.5739 40.3731),5.4,0.0,6.907372514309816e-11,0.7920727713324276,0.2079272286675724,1.0,30.51,-43.05570164414012,7.904443180605332
4584,4.1909,86.7252,2014-03-27 04:00:15.540,5.4,POINT (86.7252 4.1909),5.4,0.0,6.907372514309816e-11,0.7568494176571956,0.2431505823428043,1.0,12.96,-11.71227395695825,1.936979654780165
4753,36.5757,86.8448,2013-11-23 23:30:42.550,5.4,POINT (86.8448 36.5757),5.4,0.0,6.907372514309816e-11,0.7198461674370193,0.2801538325629806,1.0,7.18,10.925676856768721,1.8212751591040581
4757,34.4574,45.4824,2013-11-22 06:51:25.060,5.6000000000000005,POINT (45.4824 34.4574),5.4,0.0,6.907372514309816e-11,0.6253661058057152,0.3746338941942847,1.0,6.0,-7.617485958782336,1.8978613759041092
4918,30.0464,97.9565,2013-08-11 21:23:41.310,5.7,POINT (97.9565 30.0464),5.4,0.0,6.907372514309816e-11,0.8327762263156282,0.1672237736843718,1.0,6.0,-15.33848662049261,2.8321011961604277
5063,33.061,75.863,2013-05-01 06:57:13.480,5.7,POINT (75.863 33.061),5.4,0.0,6.907372514309816e-11,0.8431021186747916,0.1568978813252084,1.0,15.0,-11.26238294219602,2.354139878292583
5135,60.233,163.4,2013-03-13 03:12:52.180,5.800000000000001,POINT (163.4 60.233),5.4,0.0,6.907372514309816e-11,0.8909492440609877,0.1090507559390121,1.0,5.0,24.37659419529761,3.2852612770542877
5939,43.648,82.437,2011-11-01 00:21:28.090,5.6000000000000005,POINT (82.437 43.648),5.4,0.0,6.907372514309816e-11,0.8503181973872082,0.1496818026127918,1.0,28.0,-8.599961295265018,1.8978613759041092
5964,54.08,123.722,2011-10-14 06:10:14.600,6.0,POINT (123.722 54.08),5.4,0.0,6.907372514309816e-11,0.2414141962877736,0.7585858037122264,1.0,12.0,-10.298576041514462,2.354139878292583
5995,27.73,88.155,2011-09-18 12:40:51.830,6.9,POINT (88.155 27.73),5.4,0.0,6.907372514309816e-11,0.7132420006725257,0.2867579993274742,1.0,50.0,11.201337641152765,1.8212751591040581
6258,39.149,29.103,2011-05-19 20:15:22.940,5.800000000000001,POINT (29.103 39.149),5.4,0.0,6.907372514309816e-11,0.8655596769239123,0.1344403230760877,1.0,7.0,16.459236103539897,2.2337158905863728
6641,8.596,-76.855,2011-03-02 18:50:49.410,5.7,POINT (-76.855 8.596),5.4,0.0,6.907372514309816e-11,0.8403495657582931,0.1596504342417069,1.0,44.2,10.581914699940025,1.8212751591040581
6960,35.49,54.47,2010-08-27 19:23:49.500,5.800000000000001,POINT (54.47 35.49),5.4,0.0,6.907372514309816e-11,0.6669235902166291,0.3330764097833709,1.0,7.0,-7.723536653543455,1.8978613759041092
7502,-10.126,33.87,2009-12-06 17:36:36.010,5.800000000000001,POINT (33.87 -10.126),5.4,0.0,6.907372514309816e-11,0.1814304470764671,0.8185695529235328,1.0,9.0,-10.197406991394756,2.354139878292583
7699,41.483,20.388,2009-09-06 21:49:42.170,5.5,POINT (20.388 41.483),5.4,0.0,6.907372514309816e-11,0.8826971139789689,0.1173028860210309,1.0,3.0,-16.324714766633,2.8321011961604277
8121,44.555,10.41,2008-12-23 15:24:22.470,5.4,POINT (10.41 44.555),5.4,0.0,6.907372514309816e-11,0.2869861562399301,0.7130138437600699,1.0,28.3,11.08542267087129,1.8212751591040581
8322,32.308,47.35,2008-08-27 21:52:38.110,5.800000000000001,POINT (47.35 32.308),5.4,0.0,6.907372514309816e-11,0.7997951237750475,0.2002048762249524,1.0,10.0,-11.269136392033085,2.354139878292583
8334,25.039,97.697,2008-08-21 12:24:30.930,6.0,POINT (97.697 25.039),5.4,0.0,6.907372514309816e-11,0.8534462940366444,0.1465537059633555,1.0,10.0,27.661881541722572,2.4065580241404003
10011,33.5,48.78,2006-03-31 01:17:00.960,6.1000000000000005,POINT (48.78 33.5),5.4,0.0,6.907372514309816e-11,0.7513220905551707,0.2486779094448293,1.0,7.0,21.190141660103773,2.6959500248836106
10068,26.912,91.705,2006-02-23 20:04:53.550,5.800000000000001,POINT (91.705 26.912),5.4,0.0,6.907372514309816e-11,0.6638571079103162,0.3361428920896839,1.0,10.0,-15.574905337691687,2.8321011961604277
10468,28.881,94.626,2005-06-01 20:06:41.450,5.800000000000001,POINT (94.626 28.881),5.4,0.0,6.907372514309816e-11,0.7967099853762348,0.2032900146237652,1.0,25.8,31.35207431117368,11.914214353146361
10598,7.102,-34.12,2005-03-24 07:33:53.040,5.4,POINT (-34.12 7.102),5.4,0.0,6.907372514309816e-11,0.5320735524344303,0.4679264475655696,1.0,21.0,-7.5961758629257226,1.8978613759041092
11317,12.702,-44.49,2004-05-11 23:58:54.410,5.5,POINT (-44.49 12.702),5.4,0.0,6.907372514309816e-11,0.887444258738264,0.1125557412617359,1.0,10.0,-8.232435619738212,1.8978613759041092
11828,29.573,95.605,2003-08-18 09:03:03.520,5.5,POINT (95.605 29.573),5.4,0.0,6.907372514309816e-11,0.5854761807946889,0.414523819205311,1.0,33.0,31.84687742437117,11.914214353146361
11864,22.854,92.306,2003-07-26 23:18:17.960,5.7,POINT (92.306 22.854),5.4,0.0,6.907372514309816e-11,0.891394122202045,0.108605877797955,1.0,10.0,31.68322316970908,11.914214353146361
11972,42.946,72.764,2003-05-22 18:11:56.980,5.5,POINT (72.764 42.946),5.4,0.0,6.907372514309816e-11,0.7517168187357135,0.2482831812642865,1.0,33.0,10.984403145527086,1.8212751591040581
12214,19.379,94.513,2002-12-04 11:30:53.780,5.6000000000000005,POINT (94.513 19.379),5.4,0.0,6.907372514309816e-11,0.5029941067105816,0.4970058932894184,1.0,53.5,15.756677704159907,2.2337158905863728
12345,31.995,49.329,2002-09-25 22:28:11.920,5.6000000000000005,POINT (49.329 31.995),5.4,0.0,6.907372514309816e-11,0.6962351317917946,0.3037648682082053,1.0,10.0,-10.524287613926324,2.354139878292583
